读,dòu,comma; phrase marked by pause
读,dú,to attend (school); to study (a subject in school); to pronounce; to read; to read out; to read aloud
坐,zuò,to bear fruit; to sit; to take (a bus, airplane etc); to take a seat
几,jī,small table
几,jǐ,a few; how many; how much; several
几,jī,almost
人,rén,person; people
妈妈,māma,mama; mommy; mother
中午,zhōngwǔ,midday; noon
这,zhè,(bound form) this; the (followed by a noun); (bound form) this; these (followed by a classifier) (in this sense, commonly pr. [zhei4], esp. in Beijing); (pronoun) this; these
说,shuì,to persuade
说,shuō,(bound form) theory; doctrine; to explain; to comment; to scold; to tell off; to speak; to talk; to say
看,kàn,(after a verb) to give it a try; to consider; to regard as; to depend on; to feel (that); to look after; to read; to see; to look at; to treat (a patient or illness); to visit; to call on; to watch; to watch out for
看,kān,to guard; to look after; to take care of; to watch
明天,míngtiān,tomorrow
月,yuè,month; monthly; moon
睡觉,shuìjiào,to go to bed; to sleep
十,shí,10; ten
电视,diànshì,television; TV
老师,lǎoshī,teacher
水果,shuǐguǒ,fruit
呢,ne,(at the end of a declarative sentence) particle indicating continuation of a state or action; particle for inquiring about location ("Where is ...?"); particle indicating strong affirmation; particle indicating that a previously asked question is to be applied to the preceding word ("What about ...?", "And ...?"); particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board ("ok?", "are you with me?")
呢,ní,woolen material
下午,xiàwǔ,afternoon; p.m.
同学,tóngxué,classmate; fellow student; to study at the same school
听,yǐn,smile (archaic)
听,tīng,a can (loanword from English "tin"); classifier for canned beverages; to heed; to obey; to listen to; to hear
学习,xuéxí,to learn; to study
太,tài,extremely; greatest; highest; too (much); very
今天,jīntiān,at the present; now; today
汉语,Hànyǔ,Chinese language
医生,yīshēng,doctor
没有,méiyǒu,doesn't exist; hasn't; haven't; to not be; to not have
了,liǎo,(of eyes) bright; clear-sighted; to understand clearly
了,le,(completed action marker); (modal particle indicating change of state, situation now); (modal particle intensifying preceding clause)
了,liǎo,to achieve; to finish; to understand clearly
怎么样,zěnmeyàng,how about?; how are things?; how was it?; how?
朋友,péngyou,friend
写,xiě,to write
上,shàng,(bound form) up; upper; above; previous; (directional complement) up; (noun suffix) on; above; first (of multiple parts); to attend (class or university); to climb; to get onto; to go up
和,hé,harmonious
和,hè,to chime in with others; to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing
和,hé,(bound form) Japan; Japanese; (bound form) harmonious; (math.) sum; (sports) to draw; to tie; to make peace
和,hú,to complete a set in mahjong or playing cards
和,huò,classifier for boilings of medicinal herbs; classifier for rinses of clothes; to blend; to mix (ingredients) together
和,huó,to combine a powdery substance (flour, plaster etc) with water
我们,wǒmen,we; us; ourselves; our
学生,xuésheng,schoolchild; student
四,sì,4; four
七,qī,7; seven
时候,shíhou,length of time; moment; period; time
爱,ài,affection; to be inclined (to do sth); to tend to (happen); to love; to be fond of; to like
六,liù,6; six
谢谢,xièxie,thank you; thanks; to thank
钱,qián,coin; money; unit of weight, one tenth of a tael 兩|两[liang3]
回,huí,Hui ethnic group (Chinese Muslims); classifier for acts of a play; section or chapter (of a classic book); time; to answer; to circle; to go back; to return; to revolve; to turn around
回,huí,to curve; to return; to revolve
五,wǔ,5; five
北京,Běijīng,Beijing, capital of the People's Republic of China
前面,qiánmiàn,above; ahead; also pr. [qian2 mian5]; in front; preceding
块,kuài,(coll.) classifier for money and currency units; classifier for pieces of cloth, cake, soap etc; lump; chunk; piece
在,zài,(of sb or sth) to be (located) at; (used before a verb to indicate an action in progress); to exist; to be alive
来,lái,(after a round number) approximately; (between two verbs) in order to; (prefix) the coming ...; the next ... (as in 來世|来世[lai2 shi4]); (used after 得[de2] to indicate possibility, as in 談得來|谈得来[tan2 de5 lai2], or after 不[bu4] to indicate impossibility, as in 吃不來|吃不来[chi1 bu5 lai2]); (used as a substitute for a more specific verb); ever since (as in 自古以來|自古以来[zi4 gu3 yi3 lai2]); for the past (amount of time); hither (directional complement for motion toward the speaker, as in 回來|回来[hui2 lai5]); to come
有,yǒu,(bound form) having; with; -ful; -ed; -al (as in 有意[you3 yi4] intentional); to have; there is
都,dōu,(not) at all; (used for emphasis) even; all; both; entirely; already
都,dū,capital city; metropolis
菜,cài,(coll.) (one's) type; (of one's skills etc) weak; poor; dish (of food) (CL:樣|样[yang4],道[dao4],盤|盘[pan2]); vegetable; greens (CL:棵[ke1])
喜欢,xǐhuan,to like; to be fond of
哪儿,nǎr,where?; wherever; anywhere; somewhere
猫,māo,(coll.) modem; (dialect) to hide oneself; cat
分钟,fēnzhōng,minute
对不起,duìbuqǐ,I'm sorry; excuse me; I beg your pardon; to let (sb) down; to disappoint
哪,něi,which? (interrogative, followed by classifier or numeral-classifier)
哪,na,(emphatic sentence-final particle, used instead of 啊[a5] after a word ending in "n")
哪,nǎ,how; which
茶,chá,tea; tea plant
商店,shāngdiàn,store; shop
岁,suì,classifier for years (of age); year; year (of crop harvests)
岁,suì,years old
先生,xiānsheng,(dialect) doctor; gentleman; sir; mister (Mr.); husband; teacher
爸爸,bàba,(coll.) father; dad
中国,Zhōngguó,China
做,zuò,(of a person) to be (an intermediary, a good student etc); to become (husband and wife, friends etc); (of a thing) to serve as; to be used for; to assume (an air or manner); to do; to engage in; to hold (a party etc); to make; to produce; to write; to compose
点,diǎn,(old) one fifth of a two-hour watch 更[geng1]; classifier for items; dot; dot stroke in Chinese characters; drop; o'clock; point; point (in space or time); speck; to check on a list; to choose; to draw a dot; to hint; to ignite; to light; to order (food in a restaurant); to pour a liquid drop by drop; to touch briefly
吗,má,(coll.) what?
吗,ma,(question particle for "yes-no" questions)
谁,shéi,also pr. [shui2]; who
八,bā,eight; 8
杯子,bēizi,cup; glass
漂亮,piàoliang,beautiful; pretty
出租车,chūzūchē,(Tw) rental car; taxi
叫,jiào,by (indicates agent in the passive mood); to ask; to be called; to call; to order; to shout
工作,gōngzuò,(of a machine) to operate; job; task; to work; work
