夏,Xià,Xia of the Sixteen Kingdoms (407-432); the Xia or Hsia dynasty c. 2000 BC
夏,xià,summer
特别,tèbié,(often followed by 是[shi4]) in particular; expressly; for a specific purpose; unusual; special; very; especially; particularly
然后,ránhòu,then; after that; afterwards
草,cǎo,careless; draft (of a document); grass; manuscript; rough; straw
必须,bìxū,compulsory; must; necessarily; to have to
相信,xiāngxìn,to be convinced (that sth is true); to believe; to accept sth as true
角,jiǎo,angle; corner; horn; horn-shaped; unit of money equal to 0.1 yuan, or 10 cents (a dime)
角,jué,ancient three legged wine vessel; role (theater); third note of pentatonic scale; to compete
瘦,shòu,(of clothing) tight; (of land) unproductive; (of meat) lean; thin; to lose weight
生气,shēngqì,angry; liveliness; to get angry; to take offense; vitality
香蕉,xiāngjiāo,banana
小心,xiǎoxīn,to be careful; to take care
欢迎,huānyíng,to welcome; welcome
节日,jiérì,festival; holiday
冬,dōng,winter
冬,dōng,(onom.) beating a drum; rat-a-tat
像,xiàng,appearance; image; image under a mapping (math.); portrait; such as; to be like; to look as if; to resemble
元,Yuán,the Yuan or Mongol dynasty (1279-1368)
元,yuán,(Tw) (geology) eon; (math.) argument; constituent; currency unit (esp. Chinese yuan); era (of a reign); first; fundamental; meta- (prefix); original; part; primary; variable
舒服,shūfu,comfortable; feeling well
公斤,gōngjīn,kilogram (kg)
聪明,cōngming,acute (of sight and hearing); bright; clever; intelligent; smart
提高,tígāo,to improve; to increase; to raise
满意,mǎnyì,pleased; satisfied; to one's satisfaction
国家,guójiā,country; nation; state
主要,zhǔyào,main; major; primary; principal
新鲜,xīnxiān,fresh (experience, food etc); freshness; novel; uncommon
带,dài,area; band; belt; girdle; region; ribbon; tire; to bear (i.e. to have); to bring; to carry; to lead; to look after; to raise; to take along; to wear; zone
马上,mǎshàng,at once; immediately; on horseback (i.e. by military force); right away
接,jiē,to answer (the phone); to catch; to connect; to extend; to join; to meet or welcome sb; to receive; to take one's turn on duty; to take over for sb
秋,qiū,autumn; fall; harvest time
结婚,jiéhūn,to get married; to marry
旧,jiù,former; old; opposite: new 新; worn (with age)
伞,sǎn,parasol; umbrella
伞,sǎn,damask silk
裤子,kùzi,pants
裤子,kùzi,pants; trousers
而且,érqiě,(not only ...) but also; furthermore; in addition; moreover
不但,bùdàn,not only (... but also ...)
校长,xiàozhǎng,(college, university) president; headmaster
认为,rènwéi,to believe; to think; to consider; to feel
过去,guòqu,(verb suffix)
过去,guòqù,(in the) past; former; previous; to go over; to pass by
衬衫,chènshān,blouse; shirt
其实,qíshí,actually; in fact; really
矮,ǎi,low; short (in length)
借,jiè,by means of; to borrow; to lend; to take (an opportunity)
刮风,guāfēng,to be windy
先,xiān,early; first; former; in advance; prior
花,huā,(coll.) lecherous; blossom; fancy pattern; florid; flower; lustful; to spend (money, time)
花,huā,also pr. [wei3]; blossom; flower
坏,huài,(suffix) to the utmost; bad; broken; spoiled; to break down
司机,sījī,chauffeur; driver
脚,jiǎo,base (of an object); classifier for kicks; foot; leg (of an animal or an object)
热情,rèqíng,cordial; enthusiastic; passion; passionate; passionately
结束,jiéshù,termination; to close; to conclude; to end; to finish
注意,zhùyì,to take note of; to pay attention to
感冒,gǎnmào,(Tw) to detest; (common) cold; can't stand; to catch cold
